7x7 

test grid 
01, 01, 01, 01, 16, 16, 01,
16, 16, 01, 01, 04, 01, 01,
16, 16, 16, 04, 16, 16, 16,
16, 16, 16, 01, 16, 16, 16,
16, 01, 01, 01, 01, 01, 16,
16, 04, 16, 01, 16, 01, 16,
01, 01, 01, 01, 16, 16, 01,

empty 
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,

baby level 1 
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 11, 01, 01, 01,  8, 16,
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,

lotta wire 
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 16, 16, 16, 16, 16, 16,
16, 11, 01, 01, 01, 01,  8,
16, 16, 01, 01, 01, 01, 01,
16, 16, 16, 16, 16, 01, 01,
16, 16, 16, 16, 16, 16, 16,
